Tweet,Sentiment Score,Sentiment Magnitude
"Dos ambulancias que iban a recogernos por la emergencia del COVID , no las dejaron pasar y gente bondadosa del campo nos guió por trochas”. ",0,0
Más de 30 niños de jardín infantil quedaron en medio de piedras lanzadas por manifestantes en Pasto. ,0.200000003,0.200000003
"En @WRadioColombia 28/06/21 ""Para nosotros lo prioritario tiene que ser hoy, resolver este problema de orden público, este problema de necesidad de ahorro en el Estado, este problema de política social ampliada. ",0,0
"Tiene que ser la obsesión del Centro Democrático"". ",0.100000001,0.100000001
Vándalos están cobrando ‘peajes’ para poder pasar por calles de Bogotá. ,-0.200000003,0.200000003
"""La democracia siempre da caminos de esperanza, permite resolver problemas, el socialismo los anula. ",0.699999988,0.699999988
Y aquí el enfrentamiento hoy tiene que ser la opción democrática vs. ,0.200000003,0.200000003
"las opciones socialistas o las opciones condescendientes con el socialismo"". ",0.200000003,0.200000003
"Hay gobiernos de libertades y empresa privada pero vergonzantes; Se congracian con socialistas y asfixian la empresa privada, igualan a los terroristas con autoridades, víctimas y ciudadanos que cumplen la ley. ",0,0
Se nombran de Centro y acusan al real Centro de Extrema Derecha. ,0.200000003,0.200000003
"José Raquel Mercado, asesinado por sus ideas. ",0.100000001,0.100000001
"El Socialismo elimina libertades y emprendimiento; Otra de sus versiones no expropia pero estrangula y hace inoperante a las empresas, sin recursos aumenta el caos social; No elimina medios d comunicación pero obliga a venderlos a aliados. ",-0.400000006,0.400000006
La prensa libre queda en el extranjero. ,0.400000006,0.400000006
Hoy 1 pm estaremos hablando del presente y futuro del país en Oriente Noticias del @CanalTRO Santander. ,0.300000012,0.300000012
"Amenazada Medellín por la Primera Línea de Violencia se hace un llamado de protección a Policía, Ejército, Gobernación y Gbno Nal. ",0.200000003,0.200000003
(DENUNCIA) Feria de Contratos en Telemedellín para campaña antirrevocatoria. ,0.200000003,0.200000003
-PRIMERA PARTE: «Trolls Centers» o bodegas vía @ifm noticias. ,0.100000001,0.100000001
"Antes algunos socialistas querían elecciones, otros lucha armada, hoy violencia más política para ganar en el 22. ",0,0
"La Democracia abre opciones para resolver problemas, el Socialismo las cierra. ",0.699999988,0.699999988
"La democracia promueve ilusiones y otorga caminos para realizarlas, el socialismo atolla a los ciudadanos en el odio. ",0,0
La autoridad para enfrentar el mar de narcóticos y el terrorismo derivado no corresponde a una idea política sino a lo mínimo que debe hacerse para proteger al Estado de Derecho en riesgo de ser superado por la criminalidad. ,-0.100000001,0.100000001
"La Primera Línea de violencia vuelve a desafiar a Medellín, la comunidad en alerta y en comunicación con la Policía y las Fuerzas Militares para que hagan presencia firme y disuasiva a tiempo. ",0.400000006,0.400000006
Departamento del Magdalena. ,0.200000003,0.200000003
"Castro enseñó a los socialistas a confundir para ganar por la via electoral, a prometer democracia, libertades y empresa privada, llegar, eliminarlas, todos en extrema pobreza y el régimen eterno, elecciones controladas y resultados predeterminados. ",-0.100000001,0.100000001
EN VIVO @CanalTRO analizamos la situación del país en Oriente Noticias. ,0.200000003,0.200000003
Siga transmisión aquí:. ,0.100000001,0.100000001
Nevado del Tolima. ,0.100000001,0.100000001
"Belisario Marín Montes falleció en Cali, nos duele su partida, nuestra solidaridad a doña Esperanza y a toda la familia del Colegio Diana Oese. ",0.100000001,0.100000001
"Al aire en @WRadioColombia 28/06/21 “Es muy difícil para nosotros hacer la campaña sin que se consolide la seguridad, la política de ahorro y se amplíen las políticas sociales”. ",-0.400000006,0.400000006
Defendamos tesis de Centro Democrático: Seguridad como garantía de libertades; Emprendimiento como fuente de recursos para progreso social; Cohesión Social legitimante de la democracia. ,0.200000003,0.200000003
El tema no es de derecha ni de extrema derecha. ,0,0
El tema es DEMOCRACIA O SOCIALISMO. ,0.200000003,0.200000003
En Oriente Noticias estaremos analizando presente y futuro del país. ,0.300000012,0.300000012
Programa completo mañana 1 pm en @CanalTRO de Santander. ,0.300000012,0.300000012
“Populismo es fascismo-socialismo adaptado a la democracia” para destruirla. ,-0.200000003,0.200000003
"Esto configura el delito de terrorismo, pronto deberían estar en la cárcel. ",-0.100000001,0.100000001
"Mis dificultades de opinión no me privan de pedir que allí donde los alcaldes (alcaldesas) no ejerzan autoridad el Gbno Nal debe hacerlo, a tiempo, para evitar destrucciones como las padecidas en tantos sitios de la Patria. ",-0.100000001,0.100000001
"La señora Carmen Betty Echeverry Ospina falleció en Caldas, nuestra sentida solidaridad a su familia en especial a su esposo José Lisimaco, alcalde de Aranzazu. ",0.300000012,0.300000012
"“El método la vejación moral de la JEP a las víctimas de secuestro por parte de las FARC: “permitir” que éstas narren las atroces vejaciones a que fueron sometidas por parte de estos desalmados, sabiendo de antemano que X y compinches los iban a humillar”. ",0,0
"(Nuestra solidaridad a la Casa Editorial, a sus directivos y a la familia de Armando González) Fallece Armando González, editor político de EL NUEVO SIGLO via @ElNuevoSiglo. ",0.100000001,0.100000001
"Mis dificultades de opinión no me privan de expresar que la administración de Bogotá es un juego engañoso de palabras y de resultados nefastos; En ocasiones posa de autoridad, para no ejercerla dice proteger a los jóvenes y finalmente permite que vándalos destruyan la ciudad. ",0,0
"1/2 El narco terrorismo está superando las capacidades del Estado, la claudicación de La Habana incrementó su poder criminal. ",0,0
Las soluciones de fondo siguen esperando. ,-0.400000006,0.400000006
Por fortuna el Presidente Duque y los integrantes de su comitiva salieron ilesos. ,0.400000006,0.400000006
Gracias a Dios. ,0.699999988,0.699999988
"@pereza0303 Adolorido por la partida de Darly, solidaridad querida familia. ",0.600000024,0.600000024
Cumpleaños de San Juán del Cesar. ,0.100000001,0.100000001
"2/2 Las soluciones sociales a la pobreza siguen aplazadas, los políticos que han impuesto este aplazamiento parece que no tienen interés en la protección de la democracia, sino en todo lo contrario. ",-0.5,0.5
"Violencia narcoterrorista y demoras d más respuestas a la pobreza ocultan éxitos; Desatraso infraestructura; Energías renovables; 30% incremento Presu Educación; Colombia Compra Eficiente, Pliegos Únicos; UCIS pasan de 5700 a 12 mil; 10 EPS canceladas; Vivienda; IngresoSolidario. ",0,0
"Hay 2 problemas diferentes: Pobreza agravada por la pandemia, urge soluciones sociales, Y Narco terrorismo que estaba en cenizas y La Habana lo volvió llamaradas. ",-0.200000003,0.200000003
"Que necesita autoridad con acciones oportunas, efectivas, transparentes, fumigación de la droga,cuidado ambiental. ",0.100000001,0.100000001
"Nos duele el fallecimiento de la doctora Elizabeth Villamil quien fuera rectora de la Universidad de Santa Rosa de Cabal, Risaralda. ",-0.100000001,0.100000001
Solidaridad con su familia. ,0.600000024,0.600000024
"Nuestro sentido pésame al dr Jaime Granados y a su familia por el fallecimiento de su padre, Luís Carlos Granados, ingeniero y profesor universitario. ",0,0
Gratitud siempre al dr Granados. ,0.600000024,0.600000024
"🚨 A través de un comunicado publicado en redes sociales, la primera línea de Suba informó que atacará a buses de TransMilenio con sus pasajeros porque, supuestamente, están colaborando con la Policía 👉. ",-0.100000001,0.100000001
"“Ni represión, ni rebelión” via @ElNuevoSiglo. ",-0.100000001,0.100000001
"Coherencia: Menos Gastos, Menos Burocracia, Más Política Social En la R Tributaria propondremos también: 1. ",0.100000001,0.100000001
Congelar nómina y gastos generales del Estado; 2. ,0.100000001,0.100000001
No proveer los cargos existentes sin titular; 3. ,0,0
No proveer cargos creados en recientes leyes. ,0,0
EE. UU. y Colombia: hora de proteger la relación. ,0.200000003,0.200000003
"En @CaracolRadio 21/06/21 ""El trabajador tendrá mejor tiempo para educación, para la familia, para la recreación. ",0.200000003,0.200000003
"La OCDE dice que Colombia tiene la peor disponibilidad de tiempo para esos menesteres tan importantes"". ",-0.300000012,0.300000012
"En video | Así quedó la sede de RCN Radio, en Bogotá, tras ser blanco de vandalismo. ",0.100000001,0.100000001
Cualquier ataque a la libertad de prensa es repudiable. ,0.100000001,0.100000001
"Nos duele la partida de Víctor Hugo Medina en la Plata, Huila, pionero de nuestras tesis. ",-0.200000003,0.200000003
Solidaridad querida familia. ,0.800000012,0.800000012
"En @LaFM 21/06/21 “La transición que es bastante larga, hasta el año 26, ayuda a que la informalidad no se dé, pero además eso no se ha dado en economías semejantes a las nuestras donde se ha reducido la jornada de trabajo”. ",0.200000003,0.200000003
"En @LaFM 21/06/21 Sobre reforma laboral de 2002: “No se quitó una sola hora extra pero se ajustaron los recargos porque es muy distinto el país de hoy, donde muchas empresas tienen que trabajar las 24 horas, al país de hace un siglo que cerraban a las 5 o 6 de la tarde”. ",0.100000001,0.100000001
"Nos duele mucho el fallecimiento de doña Gloria Esperanza González, quien nos acompañó en esta lucha en Bogotá, siempre gratitud. ",0,0
Toda la solidaridad querida familia. ,0.899999976,0.899999976
(Gracias a nuestras FFAA) Así fue el rescate de cuatro uniformados vía @YouTube. ,0.300000012,0.300000012
(Incorporó iniciativa del Centro Democrático para Hidrógeno Verde”. ,0.200000003,0.200000003
"El concepto de autoridad para disuadir la violencia, proteger el debate de las ideas, la libertad de apoyar, oponer, protestar. ",0.300000012,0.300000012
Para evitar horrores como él de Tuluá. ,0.200000003,0.200000003
Defendemos la autoridad para que los niños no vean la crueldad que está en la mente de muchas generaciones. ,0.300000012,0.300000012
"En @LaFM 21/06/21 “Solamente en julio del año 23 se reduciría la primera hora, pasaríamos de 48 a 47 horas. ",0.200000003,0.200000003
"En julio del año 24, se reduciría otra hora, pasaríamos a 46 horas. ",0.200000003,0.200000003
"En julio del año 25, pasaríamos a 44 horas y solamente en julio del año 26 pasaríamos a 42 horas”. ",0.100000001,0.100000001
Preocupa: 1.Demora para expandir la política social y obtener los recursos que paguen los más pudientes; 2. ,-0.100000001,0.100000001
Creaciones burocráticas y aumentos de presupuesto en leyes de Justicia y Código Disciplinario. ,0.200000003,0.200000003
(Se requiere menos gasto público y más apoyo a la comunidad). ,0.300000012,0.300000012
Habrá manera que capturen a los instigadores?. ,0,0
Los 50 escándalos de Daniel Quintero en un año de alcaldía. ,0.300000012,0.300000012
58 años de sed | EL ESPECTADOR Ranchería. ,0.200000003,0.200000003
"Querida familia García Rojas de Villavicencio, nuestro dolor y solidaridad por el fallecimiento de Margarita y Graciela. ",0.300000012,0.300000012
"Entrevista @lafm 21/06/21 “Se están proponiendo temas de empleo remedial, el gobierno se ha comprometido a financiar la seguridad social del empleo de los jóvenes, el CD tiene un proyecto educativo y otro de reforma al contrato de aprendizaje”. ",0.300000012,0.300000012
Cartagena. ,0.200000003,0.200000003
"Del 2003 al 2022, comunidad de actores, recuerda los computadores de Reyes, nunca manipulados pero desestimados por la Corte. ",0.100000001,0.100000001
“Los Doce Apóstoles” de las Farc Via @Las2orillas. ,0.100000001,0.100000001
"Con espaldarazo de @CamaraColombia a laTransiciónEnergética, 🇨🇴 sigue avanzando en la masificación e innovación de energías renovables, movilidad limpia, cierre de brechas y posicionando al país como un referente en la lucha contra el cambio climático. ",0.400000006,0.400000006
#�NOMBRE?,0.300000012,0.300000012
Al aire en @CaracolRadio hablamos de la reducción de jornada laboral de forma gradual a 42 horas. ,0.200000003,0.200000003
"“El trabajador tendrá mejor tiempo para educación, para la familia, para la recreación”. ",0.200000003,0.200000003
"Cuánto creció la economía en abril, antes del paro y los bloqueos - Sectores - Economía -. ",0.200000003,0.200000003
"Si ministros y Congreso decidieran aprovechar este receso para tramitar la ley social y de impuestos razonables a los más pudientes; Se avanzaría en soluciones sociales que con consolidación de autoridad ayudarían a reactivar la economía, generar empleo y superar la pobreza. ",0.100000001,0.100000001
En la FM: Estabilidad Laboral Reforzada: debe pensarse en una solución para no desproteger al trabajador y evitar que todo el riesgo y el costo siga a cargo de la empresa. ,0,0
Podría ser un ajuste de cotización en riesgos laborales? ,0.100000001,0.100000001
Buscar opciones. ,0.699999988,0.699999988
Al aire en @lafm hablamos de la reducción gradual de jornada laboral a 42 horas. ,0.200000003,0.200000003
Reducción gradual de Jornada Laboral a 42 horas. ,0.100000001,0.100000001
Este proyecto acogió como proposiciones el proyecto de Hidrógeno Verde presentado por el Centro Democrático. ,0.100000001,0.100000001
"Nuestro sentido pésame a la familia del dr Rodrigo Dangond Lacouture, quien con generosidad apoyó las ideas que nos guían. ",0.300000012,0.300000012
Cuántas horas se trabaja en otros países en comparación con Colombia - Más Regiones - Internacional -. ,0.100000001,0.100000001
A esta hora compartimos con los jóvenes del @CeDemocratico en la Semana Joven CD 2021. ,0.300000012,0.300000012
En vivo aquí:. ,0,0
"Reducción gradual de la Jornada de Trabajo a 42 horas, transición:. ",0.200000003,0.200000003
"Mensaje al Congreso de la Resistencia Cubana, la perseverancia dará la libertad para que sea la Isla Encantada. ",0.200000003,0.200000003
Será ley proyecto que fortalecerá el empleo en jóvenes entre 18 y 28 años. ,0.300000012,0.300000012
"Nos duele mucho el fallecimiento de Augusto Paez, siempre nos acompañó en Cundinamarca, solidaridad querida familia. ",0.600000024,0.600000024
Medellin esta tarde. ,0,0
"Comunidad informa; “Derly Pastrana, nuestra líder de víctimas, fue herida en Neiva por sicarios que se transportaban en moto”. ",0.100000001,0.100000001
María Andrea Nieto. ,0.200000003,0.200000003
Qué dolorosa costumbre aquella que crearon de hacer “la paz” por la presión de las bombas terroristas!. ,-0.200000003,0.200000003
Acelerar la superación de la pobreza para poder hablarle duro al socialismo 9/9. ,0,0
Al aire en @Horadelaverdad con el Dr. @FlondonoHoyos Siga entrevista aquí:. ,0.100000001,0.100000001
"Intervención en plenaria de Cámara de Representantes 16 junio,2021 Reducción de la jornada de trabajo un gesto para la fraternidad. ",0.100000001,0.100000001
5 conclusiones de la cumbre de Biden y Putin vía @CNNEE. ,0.100000001,0.100000001
"Falleció Alberto Zabala Simanca, en Caucasia, Ant, creyó y acompañó las ideas que defendemos, nuestra solidaridad a toda su familia. ",0.699999988,0.699999988
“Siempre hemos apoyado la gratuidad de la Educación Pública”: senadora Ruby Chagüi sobre la polémica por matrícula cero. ,0.200000003,0.200000003
"Nuestro pesar por el fallecimiento de Henry Escobar, ex Alcalde de Puerto Berrío, Antioquia. ",0,0
Solidaridad querida familia. ,0.800000012,0.800000012
Las claves de la investigación por atentado a batallón de Cúcuta vía @eltiempo. ,0.100000001,0.100000001
Participamos en conversatorio con la @republicagt de Guatemala. ,0.100000001,0.100000001
“Cómo vencer al socialismo en Latinoamérica” En vivo aquí:. ,0,0
Queman otro bus del Mío en Cali (Ojalá recompensas grandes para que los capturen). ,0.200000003,0.200000003
"En vivo con @revistavistazo de Ecuador 17 junio 2021 “Hay una combinación de formas de lucha, los interesados en esta violencia la estimulan y al mismo tiempo aspiran a imponer un modelo socialista el año entrante en Colombia” Siga entrevista aquí:. ",0.100000001,0.100000001
"Intervención en plenaria de Cámara de Representantes 16 junio,2021 Reducción de la jornada de trabajo un gesto para la fraternidad. ",0.100000001,0.100000001
Carro bomba en Brigada 30 del Ejército Nacional con sede en Cúcuta: 11 militares heridos dejó carro bomba en Cúcuta | Cúcuta | Caracol Radio. ,0.100000001,0.100000001
Acelerar la superación de la pobreza para poder hablarle duro al socialismo 8/9. ,0,0
Acelerar la superación de la pobreza para poder hablarle duro al socialismo 4/9. ,0,0
"Caldas , Nevado del Ruiz. ",0.200000003,0.200000003
"Entrevista con @VickyDavilaH en @RevistaSemana 14/06/21 La política de seguridad democrática era una cosa, los falsos positivos nada tienen que ver con ella. ",-0.400000006,0.400000006
"Entrevista con @VickyDavilaH en @RevistaSemana 14/06/21 ""Yo ejercí el Gobierno con alegría, con ganas de servirle a la comunidad y que este país mejorara y mejoró, ¿para que quede esa mácula?, ¡cuánto me ha dolido!”. ",0,0
El General Padilla de León me reclama por no reconocer su trabajo en la operación que liberó a la dra Ingrid y a otros secuestrados. ,-0.100000001,0.100000001
"Lo enmiendo, pero el mismo General me refería al General Montoya, su subalterno, con quien no hablé antes de la operación. ",0,0
Gratitud Gral Padilla. ,0.200000003,0.200000003
“Colombia no ha aplicado la doctrina de Vietnam ni en mi gobierno ni antes de mi gobierno” en vivo en @RevistaSemana con @VickyDavilaH. ,-0.300000012,0.300000012
"“En el gobierno hicimos todos los intentos por el diálogo, pero puse unas condiciones muy claras que no podía haber diálogo con asesinatos, que tenían que suspender las actividades criminales” en @RevistaSemana con @VickyDavilaH. ",0,0
"Entrevista con @VickyDavilaH en @RevistaSemana 14/06/21 ""A las madres de Soacha siendo yo presidente les pedí perdón (.) el perdón tiene que darse en el momento oportuno, no tiene que tener factores influenciadores”. ",0.200000003,0.200000003
"""Aquí están las cifras, ¿usted sabe cuántos desmovilizados hubo en este Gobierno sin cambiar las instituciones? ",-0.100000001,0.100000001
"53.663, 29.000 capturados, 13 mil bajas"" en vivo con @VickyDavilaH en @RevistaSemana. ",0.100000001,0.100000001
Acelerar la superación de la pobreza para poder hablarle duro al socialismo 2/9. ,0,0
Aplaudimos la preocupación del Alcalde de Ibagué por el orden público. ,0.600000024,0.600000024
Acelerar la superación de la pobreza para poder hablarle duro al socialismo 3/9. ,0,0
Acelerar la superación de la pobreza para poder hablarle duro al socialismo 7/9. ,0,0
Acelerar la superación de la pobreza para hablarle duro al Socialismo 1/2. ,0,0
"En temas de orden público @Andreshurtado_7 ha trabajado codo a codo con autoridades para protección de ciudadanía y pleno respeto a DDHH, a diferencia del petrismo antecesor. ",0.5,0.5
Los esfuerzos deben centrarse en desarticular el terrorismo urbano. ,0.100000001,0.100000001
@portelaibague. ,0,0
"No se disparó para que las Farc entiendan que nuestra política de seguridad democrática no es un fin en sí mismo, sino un camino a la paz, a la paz total. ",0.100000001,0.100000001
La única factura que queremos pasar es la invitación a las Farc para que hagan la paz. ,0.300000012,0.300000012
"2 julio, 2008. ",0,0
Acelerar la superación de la pobreza para hablarle duro al Socialismo 2/2. ,0,0
Acelerar la superación de la pobreza para poder hablarle duro al socialismo 6/9. ,0,0
Acelerar la superación de la pobreza para poder hablarle duro al socialismo 5/9. ,0,0
Acelerar la superación de la pobreza para poder hablarle duro al socialismo 1/9. ,0,0
“Se hizo un gran esfuerzo y siempre premiamos la política de la desmovilización” en vivo con @VickyDavilaH en @RevistaSemana. ,0.5,0.5
"Promoción de valores ciudadanos: despierta en el niño la curiosidad por aprender, argumentar, escuchar, vivir en comunidad. ",0.5,0.5
El odio sembrado por el adoctrinamiento de Fecode anula todo lo anterior. ,-0.300000012,0.300000012
"(Hasta2013 tendencia buena;reversion cuando La Habana concede a Farc: Delito político sin cárcel,sin extradición,sin fumigación, erradicación voluntaria, curules,eliminaron Flias Guardabosque Fracasocontra narco – La Linterna Azul (Respaldo) Rafael Nieto. ",0.100000001,0.100000001
"Con el fallecimiento de la dra Clemencia Forero, ex Embajadora y ex Canciller, queda el recuerdo, la admiración y gratitud a su preparación, sinceridad y espíritu constructivo. ",0.600000024,0.600000024
Conferencia de Doña Cayetana Álvarez de Toledo – La Linterna Azul (Respaldo). ,0.200000003,0.200000003
La Verdadera Agenda del Arzobispo de Cali. ,0.300000012,0.300000012
Aumenta el número de mejores universidades colombianas en el mundo via @ElNuevoSiglo. ,0.200000003,0.200000003
(Ni bloqueos ni justicia privada) Algunas personas que se movilizaban en motocicletas dispararon contra la integridad de quienes se encontraban en. ,0,0
vía @eltiempo. ,0,0
"María Alejandra Lora Sabagh, hija de nuestros compañeros Alberto Lora y Linda Sabagh (San Jacinto), falleció. ",0,0
Solidaridad querida familia. ,0.800000012,0.800000012
Siga programa en vivo aquí:. ,0.200000003,0.200000003
"Toda nuestra solidaridad y sentimiento de pesar a la Embajadora Gloriza Ramírez y a su familia por el fallecimiento de su padre, nuestro gran amigo, don Hernando Ramírez. ",0.5,0.5
"Lorent Saleh ratifica en foro del Parlamento Europeo su secuestro por Juan Manuel Santos, quien lo entregó al régimen de Maduro vía @Prensa Liberal. ",0,0
Urgencia: Un mes de receso parlamentario sin avanzar en trámite de fuentes de financiamiento de política sociales y de juventud sería un precioso tiempo perdido. ,-0.100000001,0.100000001
Urge también señal clara para reactivación económica. ,0.800000012,0.800000012
Pasto esta tarde. ,0,0
"Yo diría que tengo aquí en el corazón un chip que es la defensa de la democracia, que es más importante que haber llegado a la presidencia, entonces a pesar de todas estas dificultades yo sigo en la lucha. ",0.100000001,0.100000001
"Comunidad informa; “Farc pide que Comité de Paro acuerde algún punto con el Gbno, justificar así el Paro, hacer un repliegue para preparar militarmente -léase criminalmente- la primera línea y regresar al Paro”. ",0.100000001,0.100000001
Hoy con Katherine Hernández en el programa “Siendo Honestos” 9 pm Colombia 10 pm República Dominicana. ,0.100000001,0.100000001
Acelerar la superación de la pobreza para hablarle duro al Socialismo. ,0,0
"(16 retenciones de ambulancias, en 10 de los casos transportaban pacientes; 4 muertes de pacientes) El fracaso del paro o el fin del proyecto electoral de la izquierda radical - Periódico Debate Alfonso Monsalve. ",0,0
Que lo sepa la comunidad internacional!. ,0.5,0.5
Qué humillación a los cafeteros y ahora que ha habido buen precio!. ,0.899999976,0.899999976
"El problema no es por el emprendimiento privado, sino por la falta de emprendimiento privado. ",-0.300000012,0.300000012
"Mientras muchos quieren asfixiarlo con regulaciones, con exceso de impuestos, desde mi punto de vista lo que necesitamos es que haya más posibilidades para que este se expanda. ",0,0
"Las reflexiones de Robert Bernstein, antes de fallecer, tienen hoy una enorme vigencia a raíz del informe de José Miguel Vivanco sobre lo que ocurre con las protestas en Colombia. ",0.300000012,0.300000012
Pobre juventud con estos profesores. ,0.600000024,0.600000024
"Fuerzas Armadas y de Policía con alta moral, respetadas y bien dotadas, disuaden a los violentos; Debilitadas, mancilladas y torturadas, dan confianza a quienes generan violencia y se termina con muertos, contusos, heridos, destrucción y violación de DDHHl. ",-0.100000001,0.100000001
"Semana “A José Miguel Vivanco, el director de las Américas de HRW, le pasa lo mismo. ",0,0
"Su sesgo es muy evidente en sus trinos, y su obsesión a la hora de atacar a la Policía y a las Fuerzas Armadas de Colombia es notoria.” ",0,0
De acuerdo. ,0.200000003,0.200000003
"La acción de los violentos, la policía debilitada,con ausencias del ejército, ha terminado en refriegas cuerpo a cuerpo del Esmad con grupos violentos. ",0,0
"Lo anterior se evita con policía fortalecida,presencia militar,que disuadan a los criminares. ",0.100000001,0.100000001
Autoridad y no defensa privada. ,0.100000001,0.100000001
"Cartagena, su turismo diezmado por la pandemia, reclama contra los bloqueos. ",0,0
A esta hora participamos en la Conferencia “Historia Contemporánea de Colombia: Una revisión a la política de seguridad democrática” de la Universidad Rey Juan Carlos y el Parlamento Europeo. ,0,0
En vivo aquí:. ,0,0
"""Dotar a todos los jóvenes que quieran emprender, estimularles el emprendimiento, dotarlos de recursos de capital de riesgo aportados por el Estado, sector privado, las universidades (.) creo en que eso tiene que ir de la mano de políticas sociales"". ",0,0
Urgencia: Cada día se hace más tarde para que Gbno y Congreso tramiten los recursos que paguen los más pudientes para ampliar la política social y de juventud. ,0,0
"Urgencia: Cuál es la razón para aplazar impuestos para política social y de juventud; Esos tres impuestos -renta corporativa, sobre tasa sector financiero y congelar descuento ICA- los pagarían los más pudientes. ",0.100000001,0.100000001
"Violencia y pobreza del 42,5% destruyen la democracia. ",0,0
"“Tenemos que robustecer el movimiento, esto es de largo aliento, esto es para llegar con miras para el 2022. ",0.100000001,0.100000001
"para derrotar al Centro Democrático, para derrotar la ultraderecha y llegar al poder en el 2022”, Nelson Alarcón, de Fecode, los maestros (Comité de Paro) ¿qué opina?. ",0.100000001,0.100000001
"Ágora Masónica y California State University 07/06/21: ""América Latina solo debería pensar en una restricción migratoria por razones excepcionales como casos de salud pública, la hermandad latinoamericana tiene costos y tiene exigencias, hay que ser generosos en esa materia.”. ",0,0
Bogotá compró 140 ventiladores mecánicos con sobrecostos | RCN Radio. ,0.100000001,0.100000001
Urgencia: Próximo a concluir este período legislativo y no se ha empezado a tramitar la reforma tributaria que pagarían los más pudientes para ampliar la política social y de juventud. ,-0.100000001,0.100000001
"A esta hora participamos en la conferencia del Centro de Pensamiento para la Democracia, Ágora Masónica, con apoyo de la Universidad Estatal de California. ",0.300000012,0.300000012
“Presente y futuro de la democracia” Siga conferencia aquí:. ,0.200000003,0.200000003
VOX consigue que se presente una reducción de diputados en la Asamblea de Madrid - La Gaceta de la Iberosfera. ,0.200000003,0.200000003
"Nos duele la partida del Sargente (R) Saulo Navas, gran líder del CD en Pacho y en la provincia de Rionegro, en Cundinmarca. ",0.100000001,0.100000001
¡Infames!. ,0.400000006,0.400000006
"Jaime Bayly: “Si Castillo jura como Presidente de Perú, instalará una Constituyente y se convertirá en dictador” - La Tercera. ",0,0
El desangre del paro - Periódico Debate Sen María del Rosario Guerra. ,0.200000003,0.200000003
Ibagué sin autoridades: encapuchados retuvieron e incineraron cuatro busetas. ,0,0
"A policía, que apareció muerto en río Cauca, lo mataron en el Paso del Comercio: MinDefensa. ",0,0
"1/2 Urgencia: Ojalá parlamentarios de varios partidos presenten con urgencia un proyecto que los unifique para superar la pobreza extrema, acelerar la superación de la pobreza monetaria, apoyar el empleo y las soluciones a la juventud. ",0.100000001,0.100000001
"“Y descubrí que, para ser uno de los oradores más efectivos que ha tenido Colombia, llama la atención que sea tan convincente como ignorante.” ",0.699999988,0.699999988
"La historia, según Petro. ",0.100000001,0.100000001
Por: María Isabel Rueda Parte 2. ,0,0
2/2 Urgencia: Las circunstancias del país no dan espera ni se entendería un receso parlamentario sin soluciones a la pobreza y a la juventud. ,-0.100000001,0.100000001
¿Quién está detrás de la financiación del vandalismo en Cali durante el paro?. ,0.100000001,0.100000001
